instrument,datetime,$open,$close,$high,$low,$volume,$factor,计算除权价,计算前复权价,计算后复权价,前复权价_方法1,前复权价_方法2
SH600519,2024-07-15,198.90405,199.56706,201.33961,198.90405,141722.11,0.13530888,1474.9,1474.8994,1445.0333,1474.8994,1505.384
SH600519,2024-07-16,199.71588,199.71588,200.52773,198.23424,150148.62,0.13530886,1476.0,1475.9995,1446.1112,1475.9995,1506.5066
SH600519,2024-07-17,199.72937,203.1527,203.36919,198.9067,253575.53,0.13530883,1501.4001,1501.4,1470.9974,1501.4,1532.4313
SH600519,2024-07-18,202.89555,202.62628,204.99284,201.95245,213366.67,0.1353088,1497.51,1497.5101,1467.1864,1497.5101,1528.4604
SH600519,2024-07-19,201.7198,206.4299,206.91159,200.7997,287807.56,0.13530886,1525.62,1525.6195,1494.7264,1525.6195,1557.1521
SH600519,2024-07-22,206.34999,202.82791,207.01978,201.83339,210948.64,0.13530882,1499.0,1499.0,1468.646,1499.0,1529.9813
SH600519,2024-07-23,202.8279,196.8743,203.09851,196.8743,228691.4,0.1353088,1454.9999,1455.0,1425.5371,1455.0,1485.0717
SH600519,2024-07-24,196.22491,194.84747,198.05159,194.16823,178277.67,0.13530886,1440.02,1440.0195,1410.8599,1440.0195,1469.783
SH600519,2024-07-25,194.84744,193.55795,195.92722,192.13992,209495.23,0.13530885,1430.49,1430.4896,1401.523,1430.4896,1460.0558
SH600519,2024-07-26,193.55803,192.43495,194.5363,190.90732,239110.6,0.13530889,1422.19,1422.1892,1393.3905,1422.1892,1451.5846
SH600519,2024-07-29,191.46205,189.1645,192.40785,189.16179,228137.83,0.13530886,1398.02,1398.0195,1369.7103,1398.0195,1426.9148
SH600519,2024-07-30,187.53532,186.72482,188.1158,184.19589,382673.06,0.13530882,1379.9901,1379.9901,1352.046,1379.9901,1408.5118
SH600519,2024-07-31,185.79262,192.3118,193.1223,185.79262,319804.0,0.13530888,1421.28,1421.2794,1392.4991,1421.2794,1450.6558
SH600519,2024-08-01,191.86787,187.55965,192.13849,187.36209,236777.66,0.1353088,1386.16,1386.1602,1358.0912,1386.1602,1414.8091
SH600519,2024-08-02,185.86023,187.46364,189.0224,185.86023,162056.6,0.13530885,1385.45,1385.4496,1357.395,1385.4496,1414.0848
SH600519,2024-08-05,187.92766,190.78674,192.95033,187.47302,278888.53,0.13530879,1410.01,1410.0104,1381.4583,1410.0104,1439.1519
SH600519,2024-08-06,192.40918,190.06833,192.6798,188.62189,202827.33,0.13530885,1404.7,1404.6996,1376.2551,1404.6996,1433.7327
SH600519,2024-08-07,190.17653,191.52962,192.40776,189.2023,152408.48,0.1353088,1415.5,1415.5001,1386.837,1415.5001,1444.7554
SH600519,2024-08-08,190.92072,193.58495,195.9515,190.6501,185729.38,0.1353088,1430.69,1430.6901,1401.7194,1430.6901,1460.2593
SH600519,2024-08-09,197.5549,194.41168,198.76862,194.41168,222738.6,0.13530879,1436.8002,1436.8005,1407.7059,1436.8005,1466.4956
SH600519,2024-08-12,193.49164,194.31702,195.25066,193.02888,100747.52,0.13530883,1436.1,1436.0999,1407.0195,1436.0999,1465.7815
SH600519,2024-08-13,193.89754,192.5458,194.16817,191.0574,120527.47,0.13530882,1423.01,1423.01,1394.1948,1423.01,1452.4208
SH600519,2024-08-14,192.54584,191.232,192.80157,191.05879,99138.45,0.13530885,1413.3,1413.2997,1384.6812,1413.2997,1442.5105
SH600519,2024-08-15,190.113,193.07086,194.30217,189.96687,170269.48,0.13530886,1426.89,1426.8895,1397.9957,1426.8895,1456.3815
SH600519,2024-08-16,193.05725,193.65396,194.29262,191.73392,121608.5,0.1353088,1431.2001,1431.2002,1402.2192,1431.2002,1460.78
SH600519,2024-08-19,193.76227,192.87465,197.39937,192.81511,151008.53,0.13530885,1425.4401,1425.4397,1396.5753,1425.4397,1454.9015
SH600519,2024-08-20,193.47818,192.50667,193.48224,191.32677,137399.55,0.13530889,1422.72,1422.7192,1393.9099,1422.7192,1452.1256
SH600519,2024-08-21,192.13849,191.81104,193.21825,191.5553,111534.88,0.13530879,1417.5801,1417.5804,1388.8751,1417.5804,1446.8783
SH600519,2024-08-22,191.5974,190.79231,192.13863,189.4338,144316.38,0.13530889,1410.05,1410.0493,1381.4965,1410.0493,1439.1938
SH600519,2024-08-23,190.5148,191.4606,192.61208,190.26042,113225.89,0.1353088,1414.99,1414.9901,1386.3373,1414.9901,1444.2349
SH600519,2024-08-26,191.73256,191.05602,192.66078,189.85854,115501.805,0.13530879,1412.0,1412.0004,1383.408,1412.0004,1441.1829
SH600519,2024-08-27,191.05612,189.98312,191.19144,189.58261,100934.99,0.13530888,1404.07,1404.0693,1375.6376,1404.0693,1433.09
SH600519,2024-08-28,189.9831,187.94398,190.24423,186.04967,234009.17,0.13530885,1389.0,1388.9996,1360.8732,1388.9996,1417.7083
SH600519,2024-08-29,186.72621,191.232,191.86794,186.72621,203028.94,0.13530885,1413.3,1413.2997,1384.6812,1413.2997,1442.5105
